FirearmDeathRate,FireArmDeaths,PerCapitaIncome,Medianhouseholdincome,Medianfamilyincome,Numberofhouseholds,Numberoffamilies,Population_y,Murders,GunMurders,GunOwnership,Happiness
21.5,1046,23606,42830,53764,1841217,1232515,4853875,348,0,48.9,3
23.3,177,33062,71583,82307,249659,165015,737709,59,39,61.7,9
15.2,1094,25715,50068,59700,2428743,1579481,6817565,309,171,32.3,29
17.8,541,22883,41262,51528,1131288,752212,2977853,181,110,57.9,4
7.9,3184,30441,61933,71015,12758648,8762059,38993940,1861,1275,20.1,46
14.3,812,32357,61303,75405,2039592,1315283,5448819,176,115,34.3,35
4.6,172,39373,70048,88819,1355817,887263,3584730,117,73,16.6,32
11,111,30488,59716,72594,349743,233000,944076,63,52,5.2,15
12.6,2704,26582,47463,57212,7328046,4693411,20244914,1041,0,32.5,19
15,1571,25615,49321,58885,3587521,2426392,10199398,615,464,31.6,20
4.5,66,29736,69592,79187,450769,314151,1425157,19,4,45.1,47
14.6,242,23938,47861,58101,591587,407499,1652828,32,24,56.9,33
11.7,1490,30417,57444,71796,4772421,3099184,12839047,744,440,26.2,30
15,997,25140,49446,60780,2502739,1657223,6612768,373,209,33.8,16
9.2,288,28361,53712,67771,1241471,801562,3121997,72,49,33.8,42
13.4,383,27870,52504,66425,1109280,728602,2906721,128,91,32.2,23
17.5,772,23684,42958,54776,1712094,1124586,4424611,209,141,42.4,6
21.3,987,24800,44555,56573,1718194,1112659,4668960,481,379,44.5,2
8.3,123,27978,49462,62078,549841,344585,1329453,23,16,22.6,25
11.9,707,36338,73971,89678,2165438,1445972,5994983,516,279,20.7,39
3.4,242,36593,71919,88419,3194844,2203675,6784240,128,81,22.6,31
12.3,1230,26613,49847,62143,3834574,2485159,9917715,571,389,28.8,21
7.6,432,32638,61481,77941,2129195,1369594,5482435,133,79,36.7,49
19.9,587,21036,39680,50178,1095823,738463,2989390,259,126,42.8,5
19,1144,26126,48363,61299,2354809,1508816,6076204,502,418,27.1,7
18.9,194,25989,46328,60643,410962,251176,1032073,36,18,52.3,27
9.1,171,27446,52686,66120,740765,480317,1893765,62,43,19.8,45
16.8,498,25773,51450,60824,1021519,642461,2883758,178,113,37.5,13
9.3,132,34691,66532,80581,519756,345901,1330111,14,8,14.4,40
5.5,485,37288,69160,87951,2549336,1610581,8935421,363,255,11.3,44
18.1,383,23683,44803,54705,760916,489532,2080328,117,56,49.9,10
4.4,900,33095,58878,71115,7282398,4621954,19747183,609,383,10.3,28
13.7,1409,25774,46556,57380,3790620,2492048,10035186,517,353,28.7,24
11.9,90,33071,59029,75221,305431,187800,756835,21,9,47.9,36
12.9,1524,26937,49308,62300,4593172,2923523,11605090,500,316,19.6,14
19.6,766,25229,47529,58710,1459759,966516,3907414,234,149,31.2,1
11.9,513,27646,51075,62670,1535511,966250,4024634,99,34,26.6,18
12,1555,29220,53234,67876,4945972,3185054,12791904,658,497,27.1,26
4.1,49,30830,54891,71212,409654,257165,1055607,29,10,5.8,17
17.7,891,24596,45238,56491,1826914,1201616,4894834,399,312,44.4,12
13.4,108,26959,50979,66936,334475,211235,857919,32,12,35,43
17.1,1148,24922,44361,55557,2509665,1660344,6595056,406,297,39.4,8
12.1,3353,27125,53035,62830,9277197,6407165,27429639,1316,906,35.7,22
12.9,370,24877,60922,69535,918370,691495,2990632,54,34,31.9,48
11.1,78,29178,54166,67154,257229,162017,626088,10,8,28.8,37
12.1,1049,34052,64902,78290,3083820,2058820,8367587,383,275,29.3,38
9,686,31841,61366,74193,2679601,1725099,7160290,211,141,27.7,34
17.5,332,22714,41059,52413,735375,472869,1841053,70,30,54.2,0
11.4,664,28213,52622,67187,2307685,1485877,5767891,240,170,34.7,41
17.4,101,29698,57055,72460,232594,149032,586107,16,10,53.8,11
