State/District,Rate_x,Deaths_x,PerCapitaIncome,Medianhouseholdincome,Medianfamilyincome,Population,Numberofhouseholds,Numberoffamilies,Rate_y,Deaths_y
Alabama,21.5,1046.0,23606,42830,53764,4849377,1841217,1232515,21.5,1046.0
Alaska,23.3,177.0,33062,71583,82307,736732,249659,165015,13.4,108.0
Arizona,15.2,1094.0,25715,50068,59700,6731484,2428743,1579481,14.6,242.0
Arkansas,17.8,541.0,22883,41262,51528,2966369,1131288,752212,23.3,177.0
California,7.9,3184.0,30441,61933,71015,38802500,12758648,8762059,12.9,1524.0
Colorado,14.3,812.0,32357,61303,75405,5355866,2039592,1315283,4.1,49.0
Connecticut,4.6,172.0,39373,70048,88819,3596677,1355817,887263,17.5,332.0
Delaware,11.0,111.0,30488,59716,72594,935614,349743,233000,19.6,766.0
Florida,12.6,2704.0,26582,47463,57212,19893297,7328046,4693411,21.3,987.0
Georgia,15.0,1571.0,25615,49321,58885,10097343,3587521,2426392,9.2,288.0
Hawaii,4.5,66.0,29736,69592,79187,1419561,450769,314151,16.8,498.0
Idaho,14.6,242.0,23938,47861,58101,1634464,591587,407499,7.9,3184.0
Illinois,11.7,1490.0,30417,57444,71796,12880580,4772421,3099184,4.4,900.0
Indiana,15.0,997.0,25140,49446,60780,6596855,2502739,1657223,15.0,1571.0
Iowa,9.2,288.0,28361,53712,67771,3107126,1241471,801562,11.9,90.0
Kansas,13.4,383.0,27870,52504,66425,2904021,1109280,728602,19.9,587.0
Kentucky,17.5,772.0,23684,42958,54776,4413457,1712094,1124586,15.2,1094.0
Louisiana,21.3,987.0,24800,44555,56573,4649676,1718194,1112659,4.6,172.0
Maine,8.3,123.0,27978,49462,62078,1330089,549841,344585,18.9,194.0
Maryland,11.9,707.0,36338,73971,89678,5976407,2165438,1445972,11.1,78.0
Massachusetts,3.4,242.0,36593,71919,88419,6938608,3194844,2203675,9.0,686.0
Michigan,12.3,1230.0,26613,49847,62143,9909877,3834574,2485159,3.4,242.0
Minnesota,7.6,432.0,32638,61481,77941,5457173,2129195,1369594,17.7,891.0
Mississippi,19.9,587.0,21036,39680,50178,2994079,1095823,738463,,
Missouri,19.0,1144.0,26126,48363,61299,6063589,2354809,1508816,17.5,772.0
Montana,18.9,194.0,25989,46328,60643,1023579,410962,251176,13.4,383.0
Nebraska,9.1,171.0,27446,52686,66120,1881503,740765,480317,7.6,432.0
Nevada,16.8,498.0,25773,51450,60824,2839099,1021519,642461,11.7,1490.0
New Hampshire,9.3,132.0,34691,66532,80581,1326813,519756,345901,12.1,1049.0
New Jersey,5.5,485.0,37288,69160,87951,8938175,2549336,1610581,11.4,664.0
New Mexico,18.1,383.0,23683,44803,54705,2085572,760916,489532,17.8,541.0
New York,4.4,900.0,33095,58878,71115,19746227,7282398,4621954,12.1,3353.0
North Carolina,13.7,1409.0,25774,46556,57380,9943964,3790620,2492048,15.0,997.0
North Dakota,11.9,90.0,33071,59029,75221,739482,305431,187800,17.1,1148.0
Ohio,12.9,1524.0,26937,49308,62300,11594163,4593172,2923523,11.9,707.0
Oklahoma,19.6,766.0,25229,47529,58710,3878051,1459759,966516,4.5,66.0
Oregon,11.9,513.0,27646,51075,62670,3970239,1535511,966250,19.0,1144.0
Pennsylvania,12.0,1555.0,29220,53234,67876,12787209,4945972,3185054,5.5,485.0
Rhode Island,4.1,49.0,30830,54891,71212,1055173,409654,257165,11.9,513.0
South Carolina,17.7,891.0,24596,45238,56491,4832482,1826914,1201616,14.3,812.0
South Dakota,13.4,108.0,26959,50979,66936,853175,334475,211235,8.3,123.0
Tennessee,17.1,1148.0,24922,44361,55557,6549352,2509665,1660344,12.6,2704.0
Texas,12.1,3353.0,27125,53035,62830,26956958,9277197,6407165,12.3,1230.0
Utah,12.9,370.0,24877,60922,69535,2942902,918370,691495,11.0,111.0
Vermont,11.1,78.0,29178,54166,67154,626562,257229,162017,9.3,132.0
Virginia,12.1,1049.0,34052,64902,78290,8326289,3083820,2058820,12.9,370.0
Washington,9.0,686.0,31841,61366,74193,7061530,2679601,1725099,12.0,1555.0
West Virginia,17.5,332.0,22714,41059,52413,1850326,735375,472869,,
Wisconsin,11.4,664.0,28213,52622,67187,5757564,2307685,1485877,13.7,1409.0
Wyoming,17.4,101.0,29698,57055,72460,584153,232594,149032,18.1,383.0
